generation,highest_score,average_score,lowest_score,total_wins,total_losses,total_draws,highest_defection_rate,average_defection_rate,lowest_defection_rate
0,9754,9280.4,0,8606,8606,2588,0.47527910685805425,0.43626262626262585,0.39261031366294524
1,9394,9091.16,0,8605,8605,2590,0.47993088782562465,0.45249468367889334,0.4263689526847422
2,9284,8944.98,0,8683,8683,2434,0.48121566542619176,0.4666657806131484,0.43257132730816944
3,9309,8862.74,0,8631,8631,2538,0.4852472089314195,0.47270135566188204,0.4605263157894737
4,9160,8822.32,0,8624,8624,2552,0.4881446039340776,0.48004625199362055,0.46746411483253586
5,9128,8789.41,0,8589,8589,2622,0.489766081871345,0.48442760942760904,0.47705121389331917
6,9162,8737.46,0,8581,8581,2638,0.49392420445052027,0.48768967874231,0.48313966735019365
7,9008,8722.72,0,8623,8623,2554,0.49647793726741096,0.4893979266347692,0.4839845826687932
8,9023,8688.15,0,8617,8617,2566,0.49796207690944533,0.4909722960600151,0.4857050032488629
9,8974,8651.78,0,8621,8621,2558,0.49914938862307284,0.49369643806485913,0.48995215311004786
10,9086,8647.25,0,8628,8628,2544,0.49932337731380794,0.49470929389589663,0.4905272823933111
11,8946,8611.11,0,8629,8629,2542,0.5007309941520468,0.49672625376572765,0.4923356370724792
12,8882,8580.2,0,8630,8630,2540,0.5023105549421338,0.4989553429027113,0.49402936245041507
13,8960,8586.99,0,8560,8560,2680,0.5035505430242272,0.5006956785904155,0.4966772993088783
14,8925,8572.73,0,8600,8600,2600,0.5050327839801524,0.5014692539429382,0.49833421938685096
15,8955,8567.05,0,8610,8610,2580,0.505897793726741,0.5032451156299839,0.4994683678894205
16,8952,8561.05,0,8615,8615,2570,0.5063952215655002,0.5042048972699127,0.5019545298183069
17,8858,8576.0,0,8590,8590,2620,0.506896449878906,0.5047089314194578,0.5017130368007561
18,8934,8564.79,0,8614,8614,2572,0.507177033492823,0.5053725621869665,0.5033576764878704
19,8886,8571.0,0,8634,8634,2532,0.5079213184476342,0.5061101807549175,0.5038277511961723
20,8884,8581.19,0,8681,8681,2438,0.5086833244727982,0.5066733753575858,0.5039872408293461
21,8884,8565.54,0,8583,8583,2634,0.509086076071722,0.5074172345464211,0.5054371465854719
22,8915,8559.9,0,8688,8688,2424,0.5096040496498162,0.507852437417655,0.5066454013822435
23,8893,8563.43,0,8606,8606,2588,0.5104332801701222,0.5084506246677296,0.5066121743753322
24,8869,8561.38,0,8702,8702,2396,0.5106858054226475,0.5092299840510368,0.5074322169059011
25,8933,8574.0,0,8687,8687,2426,0.5111336032388664,0.5097417494785915,0.5078517973254816
26,8786,8561.88,0,8635,8635,2530,0.511725441550003,0.5100287475141277,0.5079449465414377
27,8953,8555.87,0,8601,8601,2598,0.512085137085137,0.5102420824789246,0.5080504291030606
28,8896,8544.42,0,8595,8595,2610,0.5127316724412914,0.5107560175255274,0.5087260994702011
29,8918,8543.55,0,8637,8637,2526,0.5131667552720184,0.5109967216019851,0.5091617933723197
30,8819,8534.66,0,8592,8592,2616,0.5130164119977363,0.5110504879010821,0.5090377458798512
31,8873,8555.37,0,8573,8573,2654,0.512950225943647,0.5110910087719299,0.5093201754385965
32,8810,8552.61,0,8654,8654,2492,0.5130088766452403,0.5112548128816073,0.5091988465194207
33,8893,8543.81,0,8633,8633,2534,0.5134706195077712,0.5118959721049505,0.5106951871657754
34,8849,8543.61,0,8574,8574,2652,0.5135490240753399,0.5120306068200804,0.5107997265892003
35,8900,8538.02,0,8614,8614,2572,0.5138372024336937,0.5121965266702108,0.5109649122807017
36,8825,8542.83,0,8648,8648,2504,0.5143325143325144,0.5122492348808138,0.5110565110565111
37,8833,8542.08,0,8567,8567,2666,0.5146338733596352,0.5121705979462212,0.5113811242620107
38,8895,8546.06,0,8564,8564,2672,0.5132158290053027,0.5123983423983423,0.5116822748401696
39,8945,8533.23,0,8559,8559,2682,0.5137892078681552,0.5127670786815522,0.5114766081871345
40,8847,8535.85,0,8557,8557,2686,0.5143605503040677,0.5132261640798224,0.511903372622243
41,8870,8532.04,0,8618,8618,2564,0.5144363433837118,0.5136762360446573,0.51212627528417
42,8840,8544.45,0,8602,8602,2596,0.5146817007282124,0.5137666753211433,0.5125675358233498
43,8774,8538.96,0,8649,8649,2502,0.5151756802474505,0.5137498791745203,0.5125054371465855
